GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
A02,OKMDW,False,False
A01,OKMDW,False,False
A03,OKMDW,False,False
A04,OKMDW,False,False
A06,OKMDW,False,False
ZH001099,TSCHINKE,False,False
00000683,00003024,True,False
ZH001407,AKALISVA,False,True
ZH001407,WHAAN,False,True
BAPRON,MVERHOEV,False,False
APBSTE,00000172,False,False
ZH001064,NNOORT,False,True
ZH001421,00003312,False,False
ZH001866,CTHIJSS2,True,False
BAPPD,JNIJS2,False,False
ZH001064,PPETERSE,False,True
ZH001059,DBRAKEL,False,False
APBAGE,00002297,False,True
CS+,CSMYBE,False,False
ZH001064,AOSKAM4,False,True
ZH000782,LMEERWI2,True,False
D01,OKMDW,False,False
D02,OKMDW,False,False
END,SPEINT,False,False
D04,OKMDW,False,False
GGZSK,GGZSKL,False,False
KLVKRM,KLILLV,False,False
KSCC,KLISEC,False,False
KSNEO,KLISEC,False,False
KVCTG,KLIVPL,False,False
KVEND,KLIVPL,False,False
KVIC,KLIVPL,False,False
KVKIN,KLIVPL,False,False
KVNEO,KLIVPL,False,False
OK2,OKMDW,False,True
OK5,OKMDW,False,True
ZH000681,00004020,True,False
P&C,P&CMDW,False,False
POK01,POKMDW,False,False
CS+,CSSTMA,False,False
CS+,CSYOEO,False,False
VIMMCO,VIMMC,False,False
VIMTL,VIMT,False,False
CS+,CSFRBL,False,False
CS+,CSGEDU,False,False
CS+,CSNOHAS,False,False
CS+,CSVEKOO,False,False
CS+,CSTIMHO,False,False
CS+,CSBIAL,False,False
CS+,CSRINE,False,False
CS+,CSVETH,False,False
CS+,CSEVAS,False,False
CS+,CS000307,False,False
CS+,CSSABEL,False,False
CS+,CSMALEE,False,False
CS+,CSALWI,False,False
CS+,CS000181,False,False
CS+,CS000237,False,False
CS+,CS000236,False,False
CS+,CS000251,False,False
CS+,CS VEYP,False,False
CS+,CS000239,False,False
CS+,CS000183,False,False
CS+,CSACOO,False,False
CS+,CSABLUD,False,False
CS+,CSAJ,False,False
CS+,CSAJM,False,False
CS+,CSALHA,False,False
CS+,CSAK,False,False
CS+,CSALBE,False,False
CS+,CS000182,False,False
CS+,CSALBL,False,False
CS+,CSALHE,False,False
CS+,CSANGA,False,False
CS+,CSAN,False,False
CS+,CSANOKO,False,False
CS+,CSANVES,False,False
CS+,CSARVR,False,False
CS+,CSANVO,False,False
CS+,CSAWB,False,False
CS+,CSAP,False,False
CS+,CSANWE,False,False
CS+,CSASVDZ,False,False
CS+,CSAVE,False,False
CS+,CSAR,False,False
CS+,CSBABO,False,False
CS+,CSBGRO,False,False
CS+,CSBEKL,False,False
CS+,CSBHOO,False,False
CS+,CSBOWA,False,False
CS+,CSBEOZ,False,False
CS+,CSBRBO,False,False
CS+,CSBOPO,False,False
CS+,CSBOIJ,False,False
CS+,CSBRWA,False,False
CS+,CSBRCR,False,False
CS+,CSBSC,False,False
CS+,CSBRWB,False,False
CS+,CSBS,False,False
CS+,CSBVDB,False,False
CS+,CSRABO,False,False
CS+,CSEVAEE,False,False
CS+,CSJEJE,False,False
CS+,CSABFE,False,False
CS+,CS000238,False,False
CS+,CSADDCR,False,False
CS+,CSAB,False,False
CS+,CSADHE,False,False
CS+,CSADHA,False,False
CS+,CSANDR,False,False
CS+,CSAGR,False,False
CS+,CSANODR,False,False
CS+,CSANBOR,False,False
CS+,CSANZW,False,False
CS+,CSANOUD,False,False
CS+,CSARJSI,False,False
CS+,CSANKR,False,False
CS+,CSAVH,False,False
CS+,CSAYCE,False,False
CS+,CSBECA,False,False
CS+,CSASC,False,False
CS+,CSBAKUI,False,False
CS+,CSAXEN,False,False
CS+,CSBRBE,False,False
CS+,CSBRGI,False,False
CS+,CSBRSEV,False,False
CS+,CSBRBA,False,False
CS+,CSBRGA,False,False
CS+,CSBRVL,False,False
CS+,CSCADL,False,False
CS+,CSBW,False,False
CS+,CSBVBE,False,False
CS+,CSCHSI,False,False
CS+,CSCAVG,False,False
CS+,CSCHGI,False,False
CS+,CSCE,False,False
CS+,CSCVDH,False,False
CS+,CSCVDV,False,False
CS+,CSCOHE,False,False
CS+,CSDEWO,False,False
CS+,CSDAOU,False,False
CS+,CSANKOM,False,False
CS+,CSARHO,False,False
A05,OKMDW,False,False
00000532,00004379,False,False
ZH001064,LYOUYOU,False,True
APBBEH,JLISSENB,False,False
APOTHL,APOTHKL,False,False
CS,HERSTEL,True,False
D03,OKMDW,False,False
CS000271,CS000272,False,False
FINCR+,FINCRE,False,False
HCK,HCKPDM,False,False
KLVTMP,KLILLV,False,False
KSIC,KLISEC,False,False
KSKRM,KLISEC,False,False
KVAPS,KLIAPS,False,False
KVCC,KLIVPL,False,False
KVCTG,SPEGYN,False,False
KVDLY,KLIVPL,False,False
KVIC+,KLIVPL,False,False
NC,NECCOM,False,False
NADM,NUCADM,False,False
NMED,NUCMED,False,False
OK3,OKMDW,False,True
OK4,OKMDW,False,True
OKP,SPEANE,False,False
POAPAAW,POAPAA,False,False
SEHA,SEHART,False,False
RLAB,RADLAB,False,False
RADM,RADADM,False,False
SEHSA,SEHSEM,False,False
VIMVCO,VIMVC,False,False
AKVTRI,AKVTR,False,False
END,SPECHI,False,False
END,FUNEND,False,False
KSIC+,KLISEC,False,False
KVCTG,VRLOS2,False,False
KVKRM,KLIVPL,False,False
OK1,OKMDW,False,True
OKP,OKPDMS,False,False
POAPASS,POAPAS,False,False
SEHC,SEHCO,False,False
SEHB,SEHBO,False,False
VIMSF,VIMS,False,False
ZH000818,BALLIOUI,True,False
END,SPELON,False,False
END,SPEMDL,False,False
KSTMP,KLISEC,False,False
KVBWC,KLIVPL,False,False
KVNEU,KLIVPL,False,False
KVTMP,KLIVPL,False,False
PERFUSIE,PERFUS,False,False
ZH000818,00000629,True,False
ZH000730,00000633,True,False
ZH000787,LVEER2,False,False
00000025,DKOEKKOE,False,False
ZH001407,00000360,False,True
ZH001407,WKARIMED,False,True
ZH001407,WLAWERMA,False,True
ZH001407,WLOKHORS,False,True
ZH001407,WMAARSE,False,True
ZH001407,WMAAS,False,True
ZH001407,WMAATHUI,False,True
ZH001407,WNIEUWE2,False,True
ZH001407,WNIMWEGE,False,True
ZH001407,WREE,False,True
ZH001407,WRHEENE2,False,True
ZH001407,WSPIERIN,False,True
ZH001407,ZH001912,False,True
ZH001407,WVELDHUI,False,True
ZH001407,00000249,False,True
ZH001407,00000310,False,True
ZH001407,00000146,False,True
ZH001407,WWAAL2,False,True
ZH001407,WWIJK,False,True
ZH001407,WWOLFERI,False,True
ZH001407,WYE,False,True
ZH001407,ZH001892,False,True
ZH001407,YBAKKER,False,True
ZH001407,YBURGERS,False,True
ZH001407,YCHAIGNE,False,True
ZH001407,YGOUDSWA,False,True
ZH001407,YGROOT5,False,True
ZH001407,YHEINEN2,False,True
ZH001407,00000130,False,True
ZH001407,YLIEM,False,True
ZH001407,YLOEFFE2,False,True
ZH001407,YLOKHOFF,False,True
ZH001407,YMETZ,False,True
ZH001407,YMOHAMUD,False,True
ZH001407,YROMANIU,False,True
ZH001407,YROSSEM2,False,True
ZH001407,YVISSER3,False,True
ZH001407,YWILLEMS,False,True
ZH001407,ZHOEVEN2,False,True
ZH001407,ZSCHUBE2,False,True
ZH001407,ZSKALLI2,False,True
ZH001407,00000433,False,True
ZH000789,00000441,False,False
ZH001064,JPETERS6,False,True
00000280,00000618,True,False
ZH001064,AROELFS2,False,True
ZH000399,WESSEVEL,False,False
ZH000012,YBAKKER2,False,False
ZH000012,FSUTTON,False,False
ZH000012,TBATENB2,False,False
ZH000012,MKEIJZE8,False,False
ZH000012,ZH000015,False,False
ZH000012,ZH000016,False,False
BAPDOC,YBAKKER2,False,False
ZH000012,CHENDRI2,False,False
ZH000012,BBOTMA,False,False
ZH000012,AKOOL3,True,False
ZH000012,SVERWEIJ,False,False
ZH000012,CAPPERL2,False,False
ZH000012,TVOGEL3,True,False
ZH000012,MDRIE3,False,False
ZH000012,RMULLER,True,False
ZH000012,MBORSJE2,True,False
ZH000012,JLANSER,False,False
ZH000012,JBELT4,True,False
ZH000012,PBORST,False,False
BAPMED,JNOORT,True,False
APBMED,EKOUWEN,False,True
BAPMED,JKRIKKE,False,False
APBMED,JKRIKKE,False,True
BAPMED,JLISSENB,False,False
APBMED,JNOORT,False,True
APBMED,JPOT4,False,True
BAPMED,DBROEKHU,False,False
BAPMED,MSCHINK1,False,False
00000413,JPETERS6,False,True
00000413,RBORNEMA,False,True
00000413,DRIDDER,False,True
00000025,AWESTERI,False,False
ZH000645,FJANSSE3,True,False
00000125,FBUIJS2,False,False
ZH001366,IMAN,False,False
ZH001411,SZEEGERS,False,False
APBBEH,SSNIJDE2,False,False
ZH000645,ROVERMA2,True,False
ZH000645,JPLAATS,True,False
ZH000672,IHOOFF,True,False
ZH001073,AKOOIMA2,False,False
ZH000783,00000744,True,False
ZH000782,00000744,True,False
00000306,ASZULC2,False,False
ZH001072,00000932,False,False
ZH001072,00000933,False,False
ZH001064,HHUUSSEN,False,True
ZH000685,00000953,False,False
ZH000730,QWAGENAA,False,False
ZH001488,DBIERST2,False,False
ZH000745,ACHAIGNE,False,False
ZH000745,AENDE3,False,False
ZH000745,AKEE,False,False
ZH000745,ALAMME,False,False
ZH000745,AMOSSEL,False,False
ZH000745,ANEUT,False,False
ZH000745,ARADEMA2,False,False
ZH000745,ARIEZEBO,False,False
ZH000745,AVIERGEV,False,False
ZH000745,AWOLS,False,False
ZH000745,BRAM2,False,False
ZH000745,CBOONZAA,False,False
ZH000745,CGROOT3,False,False
ZH000745,CGUNTER,False,False
ZH000745,CJANSE11,False,False
ZH000745,DSNIJDE3,False,False
ZH000745,EBREHLER,False,False
ZH000745,EPOELS,False,False
ZH000745,EWICHINK,False,False
ZH000745,FBUIJS2,False,False
ZH000745,FFERNHOU,False,False
ZH000745,FKLOOST2,False,False
ZH000745,GDIJK11,False,False
ZH000745,GROZA,False,False
ZH000745,HBOSCH4,False,False
ZH000745,HJONG17,False,False
ZH000745,HKOPPE,False,False
ZH000745,HMELISSE,False,False
ZH000745,HWOLFF,False,False
ZH000745,IFLOKSTR,False,False
ZH000745,IKESSEL,False,False
ZH000745,IWAGENAA,False,False
ZH000745,JBOER23,False,False
ZH000745,JBRINK12,False,False
ZH000745,JDIJKHOF,False,False
ZH000745,JELLEN,False,False
ZH000745,JHIJLKEM,False,False
ZH000745,JMUL4,False,False
ZH000745,JNELEMAN,False,False
ZH000745,JPASTER2,False,False
ZH000745,KBERG3,False,False
ZH000745,KERNST,False,False
ZH000745,KPANNEBA,False,False
ZH000745,KPELGRIM,False,False
ZH000745,KPOTUIT,False,False
ZH000745,KTHOUTE2,False,False
ZH000745,KVRIES6,False,False
ZH000745,LDALEN,False,False
ZH000745,LEBSKAM2,False,False
ZH000745,LGOEDE3,False,False
ZH000745,LKUIPERS,False,False
ZH000745,LVERHOE5,False,False
ZH000745,MCOENRAA,False,False
ZH000745,MCREMERS,False,False
ZH000745,MGRIFFI3,False,False
ZH000745,MGRIJZEN,False,False
ZH000745,MKOOIJ5,False,False
ZH000745,MLUBKEN,False,False
ZH000745,MMEZZIAN,False,False
ZH000745,MMOLEVEL,False,False
ZH000745,MNOBEL,False,False
ZH000745,MRUTGER4,False,False
ZH000745,MSCHRIJ6,False,False
ZH000745,MVELZEN5,False,False
ZH000745,MVERME13,False,False
ZH000745,MWANROO3,False,False
ZH000745,MWEIJER3,False,False
ZH000745,MWILLEM5,False,False
ZH000745,MZUYDEND,False,False
ZH000745,NBEEK,False,False
ZH000745,NBEEK5,False,False
ZH000745,NBLIJ,False,False
ZH000745,NMASSELM,False,False
ZH000745,NTONGERE,False,False
ZH000745,PHAMER,False,False
ZH000745,PJANSSE7,False,False
ZH000745,POOSTERL,False,False
ZH000745,RBIJL5,False,False
ZH000745,RWITLOX,False,False
ZH000745,SDORREST,False,False
ZH000745,SHAAN,False,False
ZH000745,SJHARAP,False,False
ZH000745,TDIKKEMA,False,False
ZH000745,VBOOGAAR,False,False
ZH000745,WLAAR2,False,False
ZH000745,WQUIK,False,False
ZH000745,YHORST,False,False
ZH000745,YLIEVERS,False,False
ZH001407,PLUBBERS,True,True
SYSBH,FVEUGER2,False,True
APBBEH,LPRINS2,False,False
ZH001509,00002918,True,False
ZH000645,NBLOCK2,False,False
ZH000645,00001057,False,False
ZH000645,00001932,False,False
BAPRON,JJONG25,False,False
ZH001064,HFAKIDI,False,True
ZH001064,AJAGER3,False,True
ZH001064,SKREUNIN,False,True
ZH001064,JSAPULET,False,True
ZH001064,LBURGHA2,False,True
ZH001064,PWINTRI2,False,True
00000413,LKOUTERI,False,True
ZH001075,00000681,True,False
ZH000645,00000703,True,False
ZH001411,CWATZEEL,False,False
ZH001504,00000758,True,False
00000306,00000675,False,False
ZH001068,CCECILI2,False,False
ZH001068,SLANGESL,False,False
ZH001068,NLEIJDEC,False,False
ZH001068,ALIJN,False,False
ZH001068,IPEKCAN,False,False
ZH001068,BSCHIRMB,False,False
ZH001068,JVONK,False,False
ZH001068,SYOUSEF2,False,False
ZH000970,00001133,False,False
ZH001068,ZH000388,True,False
ZH000971,00001133,False,False
00000516,KPONS,True,False
ZH000821,JLOURENS,False,False
BAPVOE,KVLEDDER,False,False
APBVOE,KVLEDDER,False,False
ZH000645,MSCHELT4,False,False
00000701,DMADHO,False,False
SYSBH,00000588,False,True
ZH001504,00000749,True,False
00000306,JWESTERB,False,False
00000306,MROZENDA,False,False
ZH001123,00000821,True,False
KVTMP,00000825,True,True
ZH000685,00000827,True,False
RADM,00000845,True,False
ZH000970,QSTALLMA,False,False
ZH000971,QSTALLMA,False,False
ZH001064,FVERKAA2,False,True
ZH001509,00000650,False,False
ZH000822,GBRONDIJ,False,False
ZH000822,RTEMPELA,False,False
ZH001499,SSNIJDE2,False,True
00000413,SSNIJDE2,False,True
ZH000677,PF7KLIVP,True,False
ZH000679,PF7KLIVP,True,False
ZH001064,YWILLEMS,False,True
00000738,ZH001207,False,False
ZH000789,00000675,False,False
SYSBH,PFDITBHR,True,True
ZH000818,00000486,False,False
ZH001488,LMANEN,False,False
ZH000645,00000679,True,False
00000090,JOERS,False,False
00000090,EVELRAED,False,False
00000701,00000702,True,False
00000678,AUITHOL,False,False
00000678,SDIEPEV2,False,False
00000678,CVULPEN5,False,False
00000678,PKOOIJ2,False,False
ZH000399,IGENUGTE,False,False
ZH001347,WKOEMAN2,False,False
00000666,MVEN5,False,False
ZH001216,00000671,False,False
ZH001366,SSNIJDE2,False,False
00000090,AZIJL2,False,False
ZH001073,CVIERSTR,False,False
ZH001064,ADYKSTR2,False,True
ZH001099,MMIRKAR3,False,False
BAPRON,MKLIJN,False,False
ZH001073,00000626,False,False
ZH000853,PFKLISEC,True,False
ZH000854,PFKLISEC,True,False
ZH001073,FLEEUW14,False,False
ZH000768,PFKLISEC,True,False
ZH001073,HDIJK11,False,False
ZH000759,PFKLISEC,True,False
ZH001073,MCHOUCHA,False,False
ZH001073,SENKELAA,False,False
ZH001073,SNAIPAL,False,False
ZH000785,PFKLISEC,True,False
ZH000786,PFKLISEC,True,False
ZH000756,PFKLISEC,True,False
ZH000784,PFKLISEC,True,False
ZH000819,PFKLISEC,True,False
ZH000822,PFKLISEC,True,False
ZH000855,PFKLISEC,True,False
ZH000826,PFKLISEC,True,False
KSCC,PFKLISEC,True,False
00000516,PFKLISEC,True,False
CS000013,LMIESSEN,False,False
CS000018,00000771,True,False
ZH000683,JBERG10,False,False
SYSBH,HEXTERKA,False,True
SYSBH,MEPSKAMP,False,True
ZH000744,00000828,True,False
ZH000681,00000828,True,False
ZH000782,00000828,True,False
ZH000745,00000828,True,False
ZH001390,00000828,True,False
ZH000818,00000828,True,False
ZH000843,00000828,True,False
ZH001129,00000834,True,False
ZH001509,00000835,True,False
ZH001073,00000838,True,False
ZH001035,AESCH2,False,False
00000413,ROOSTLAN,False,True
00000623,HTHOLEN2,False,False
ZH001072,PTEUNEN3,False,False
ZH000818,JBERG10,False,False
00000413,HEXTERKA,False,True
APBRON,SVILDER,False,False
APBRON,MKLAVERS,False,False
APBRON,TPOLMAN,False,False
APBRON,MIJZEND2,False,False
APBRON,AKANDIL,False,False
APBRON,MVERHOEV,False,False
APBRON,JBEMELMA,False,False
SYSBH,JJONG25,False,True
ZH001407,SVILDER,False,True
00000140,MKLEEF3,False,False
ZH001073,RRIRIASS,False,False
ZH001066,00001376,True,False
ZH000746,00001413,False,False
00000306,ERIJN2,False,False
ZH001031,00000153,False,False
00000701,GOOFT,False,False
ZH000685,ADIRVEN,False,False
ZH000607,ADONNERS,False,False
ZH000873,ADORTMAN,False,False
ZH000843,ADRIEL,False,False
ZH000758,BBOIN,True,False
SYSBH,JKAMER3,False,True
ZH001407,BBUITEMA,True,True
ZH000746,AWINTER5,False,False
ZH000745,AWISMEIJ,False,False
ZH000744,AWOLS,False,False
ZH000782,AZANTING,False,False
ZH001407,GHOEKSTR,True,True
ZH001002,BBAAS2,False,False
ZH000745,BBLIJENB,False,False
ZH000946,BBOON,False,False
ZH000783,BBOS2,False,False
ZH000873,BBRAS,False,False
ZH000745,BBRINKHO,False,False
ZH000609,BBUS,False,False
ZH000873,BCLAVAUX,False,False
ZH000783,BDRENTH2,False,False
ZH000685,CZWART2,False,False
ZH000818,DBEKER,False,False
ZH000685,DBESTEN2,False,False
ZH000683,DBETZOLD,False,False
ZH000745,DBOER4,False,False
ZH000843,DBOL2,False,False
ZH000783,DDERKS4,False,False
ZH000730,EOOIJEN,False,False
CS+,CSBIGE,False,False
CS+,CSCACA,False,False
CS+,CSDESM,False,False
CS+,CSDIGR,False,False
CS+,CSDEMO,False,False
CS+,CSEMSL,False,False
CS+,CSEDST,False,False
CS+,CSEMBE,False,False
CS+,CSEMDR,False,False
CS+,CSELSC,False,False
ZH000683,EPASMA,False,False
CS+,CSDYSI,False,False
CS+,CSEVOO,False,False
ZH000681,EPEGGE,False,False
CS+,CSELPL,False,False
CS+,CSEVWO,False,False
CS+,CSEVME,False,False
CS+,CSFAKA,False,False
CS+,CSEVST,False,False
CS+,CSFAQU,False,False
CS+,CSFIKO,False,False
CS+,CSFIVE,False,False
CS+,CSFRME,False,False
CS+,CSFOH,False,False
CS+,CSFRSC,False,False
CS+,CSFRWA,False,False
CS+,CSFLVL,False,False
CS+,CSFSCH,False,False
CS+,CSGAHAN,False,False
ZH000873,EPFROMME,False,False
CS+,CSGIPI,False,False
CS+,CSGEHU,False,False
CS+,CSHAVA,False,False
CS+,CSGVD,False,False
CS+,CSGUVE,False,False
CS+,CSHESC,False,False
CS+,CSHEIE,False,False
CS+,CSHO,False,False
CS+,CSHS,False,False
CS+,CSMABAK,False,False
CS+,CSCACU,False,False
CS+,CSCABLO,False,False
CS+,CSCARO,False,False
CS+,CSCLHA,False,False
CS+,CSCOHO,False,False
CS+,CSCHSM,False,False
CS+,CSDADWA,False,False
CS+,CSDAVTU,False,False
CS+,CSDAOE,False,False
CS+,CSDIVI,False,False
CS+,CSDOVE,False,False
ZH000744,EPOELS,False,False
CS+,CSDOBEI,False,False
CS+,CSDOLA,False,False
CS+,CSDVDB,False,False
CS+,CSERSC,False,False
CS+,CSEVLA,False,False
CS+,CSERME,False,False
CS+,CSEVVB,False,False
CS+,CSFAMA,False,False
CS+,CSEVGA,False,False
CS+,CSFEBA,False,False
CS+,CSFRAM,False,False
CS+,CSFOBR,False,False
ZH000745,EPOORT,False,False
CS+,CSFLBL,False,False
CS+,CSFIVGO,False,False
CS+,CSFSC,False,False
CS+,CSGBER,False,False
CS+,CSGEBI,False,False
CS+,CSGULE,False,False
CS+,CSGEST,False,False
CS+,CSHADE,False,False
CS+,CSHELWE,False,False
CS+,CSHUDO,False,False
CS+,CSHIYI,False,False
ZH000873,EQUINONE,False,False
CS+,CSHUAL,False,False
CS+,CSHOP,False,False
CS+,CSHWTJ,False,False
CS+,CSHUUKA,False,False
CS+,CSIRSI,False,False
CS+,CSILLE,False,False
CS+,CSKEMU,False,False
CS+,CSCEDKR,False,False
CS+,CSCOAP,False,False
CS+,CSDAVBO,False,False
CS+,CSDINI,False,False
CS+,CSEBZE,False,False
CS+,CSEVEMU,False,False
CS+,CSFASN,False,False
CS+,CSFERI,False,False
CS+,CSFRST,False,False
ZH000607,EREIJ,False,False
CS+,CSFRRU,False,False
CS+,CSGUSC,False,False
CS+,CSHAHU,False,False
CS+,CSIRBO,False,False
CS+,CSIRRO,False,False
CS+,CSINMA,False,False
CS+,CSILKA,False,False
CS+,CSISTH,False,False
CS+,CSISBL,False,False
CS+,CSIRVKO,False,False
CS+,CSJAHO,False,False
CS+,CSJECO,False,False
CS+,CSJD,False,False
CS+,CSJEEIK,False,False
ZH000782,ERIET4,False,False
CS+,CSISVE,False,False
CS+,CSJEMI,False,False
CS+,CSJENI,False,False
CS+,CSJEDKR,False,False
ZH000745,EROON,False,False
CS+,CSJEDIJ,False,False
CS+,CSJESM,False,False
ZH000745,EROOSEN4,False,False
CS+,CSJOHO,False,False
CS+,CSJOJAN,False,False
CS+,CSJODZE,False,False
CS+,CSJOKR,False,False
CS+,CSJOWAG,False,False
CS+,CSJOVL,False,False
CS+,CSJOSU,False,False
CS+,CSJOVE,False,False
CS+,CSJOVPE,False,False
CS+,CSYVPR,False,False
CS+,CSCLW,False,False
CS+,CSDIRE,False,False
CS+,CSEMIAL,False,False
ZH000873,EROSENBE,False,False
CS+,CSFAFI,False,False
CS+,CSFRPI,False,False
CS+,CSGESN,False,False
ZH000683,ERU,False,False
ZH000873,ERUIGROK,False,False
CS+,CSHOO,False,False
CS+,CSJAWO,False,False
ZH000984,HELDERS,False,False
CS+,CSJERI,False,False
CS+,CSJORO,False,False
CS+,CSJVKA,False,False
CS+,CSJVDL,False,False
ZH000985,HELDERS,False,False
ZH000986,HELDERS,False,False
ZH000987,HELDERS,False,False
ZH000843,HERLINGS,False,False
ZH001072,CVULPEN5,True,False
ZH001407,HVLIET3,True,True
ZH000843,HGOMBERT,False,False
ZH000758,HHAEMERS,False,False
ZH000783,HHEERIN2,False,False
ZH000782,IKAPPE,False,False
ZH000744,IKESSEL,False,False
ZH000783,IKOENRAA,False,False
ZH000758,IKOSTER2,False,False
ZH000758,JFELICIA,False,False
ZH000685,JFOEKEN,False,False
ZH000730,JFOKKER,False,False
ZH001074,JFRANCE4,False,False
ZH000782,JFRANSIN,False,False
ZH000608,JGEURTSE,False,False
ZH001068,JGEUS2,False,False
ZH000607,JPOT4,False,False
ZH000783,JQUAK,False,False
ZH000685,JRABEN,False,False
ZH000843,JRAM,False,False
ZH000685,JRIEDSTR,False,False
ZH000685,JRIJKEN4,False,False
ZH000745,JRIJNAA2,False,False
ZH000843,JROOIJE3,False,False
ZH000782,JSCHALKE,False,False
ZH000873,JSCHEUR5,False,False
ZH000745,JSCHIPP8,False,False
ZH000685,JSCHOUT6,False,False
ZH000745,JSCHRA,False,False
ZH000843,JSCHUIL2,False,False
ZH000685,JSIEPEL2,False,False
ZH000758,KPIEPER,False,False
ZH000744,KPOTUIT,False,False
ZH000843,KREGTERI,False,False
ZH000873,KRIJN3,False,False
ZH000745,KROMIJN,False,False
ZH000745,KROOIJE3,False,False
ZH001072,KROOS4,False,False
ZH001129,KSCHAAFS,False,False
ZH000685,LGUIS,False,False
ZH000843,LHAKKENE,False,False
ZH000818,LHALEN,False,False
ZH000782,LHAMMING,False,False
ZH000681,LHAMZINK,False,False
ZH001407,JBOER,True,True
ZH000818,LHENDR10,False,False
ZH000744,LHEROLD,False,False
ZH000744,LHOGENDO,False,False
ZH000843,LHOLLAND,False,False
ZH000745,LHOUTEN,False,False
ZH000744,LVERHOE5,False,False
ZH000745,LVERMEU4,False,False
ZH000782,LVERWEIJ,False,False
ZH000843,LVOGEL,False,False
ZH000843,LVOGEL3,False,False
ZH000609,LVOGELA2,False,False
ZH000685,LVRIES22,False,False
ZH000685,LVRIES29,False,False
ZH000681,LWAKKER,False,False
ZH000681,LWATER2,False,False
ZH000818,LWEENEN2,False,False
ZH000783,MBUREN4,False,False
ZH000730,MBURG5,False,False
ZH000744,MCOENRAA,False,False
ZH000744,MCREMERS,False,False
ZH000782,MDAM15,False,False
ZH000685,MDEKKE25,False,False
ZH000782,MDIERMEN,False,False
ZH000681,MDIJK37,False,False
ZH001099,MHUISM17,False,False
ZH000608,MHUISM17,False,False
ZH000783,MHUT,False,False
ZH000683,MHUTTEN2,False,False
ZH000745,MIDSINGA,False,False
ZH000730,MIJFF,False,False
ZH000745,MIMMERZ2,False,False
ZH000843,MJANSE14,False,False
ZH000745,MJANSE51,False,False
ZH000843,MJANSE55,False,False
ZH000609,MJANSE60,False,False
ZH000843,MJANSSE4,False,False
ZH000783,MNIEUW19,False,False
ZH000745,MNIEUWBO,False,False
ZH000782,MNIEUWE5,False,False
ZH000843,MNIJZIN2,False,False
ZH001512,00003698,True,False
ZH000970,LFRISSEN,False,False
ZH001425,SBEEK9,False,False
ZH001382,STOELSI2,False,False
ZH000645,WDIJK16,True,False
ZH001875,LVOGELA2,False,False
00000284,NJORRITS,False,False
ZH001357,SFESKENS,False,False
ZH000685,00003983,False,False
SYSBH+,00003847,False,True
ZH000672,DDUBBELI,True,False
ZH001512,00004263,True,False
ZH000787,ADUITS3,False,False
00000053,00004305,True,False
ZH001407,SLANGE10,False,True
ZH001421,SLANGE10,False,False
ZH000744,MNOBEL,False,False
00001407,VKUIPER2,False,False
ZH001066,MOOSTE16,False,False
ZH000818,MOOSTER5,False,False
ZH000783,MOOSTERB,False,False
ZH000745,MOOSTRO3,False,False
ZH000607,MOOSTVE2,False,False
ZH001099,MOOSTVE3,False,False
ZH000608,MOOSTVE3,False,False
ZH000758,MSTOKKI3,False,False
ZH000818,MSTRATIN,False,False
ZH000782,MSWART3,False,False
ZH000609,MSWARTJE,False,False
ZH000758,00003429,False,False
ZH000782,MTABEBOR,False,False
00000701,00001424,False,False
00003686,NNOORT,False,False
00003686,NJANSE10,False,False
ZH000730,LROCHADA,True,False
ZH000835,FBLANKES,False,False
ZH000873,00004300,True,False
00001785,SFESKENS,False,False
00000683,00004036,True,False
ZH000758,00004072,False,False
ZH001068,00003095,False,False
ZH001866,ILEEUWE4,False,False
BAPVPK,RASKES,False,False
ZH000873,MTATENH3,False,False
ZH000758,MTERPSTR,False,False
ZH000843,MZIJLMA3,False,False
ZH000730,MZOMER,False,False
ZH000744,MZUYDEND,False,False
ZH000843,NADELAAR,False,False
ZH000818,NALKEMAD,False,False
ZH001213,RBUDIART,False,False
ZH001129,AVREEKE4,False,False
00000701,00003811,False,False
ZH000730,00003812,False,False
ZH000781,AKUIJF,False,False
ACCBEH,00004359,False,False
ZH001411,MHOEFNAG,False,False
APBFUN,00004359,False,False
ZH000818,NANEMA,False,False
ZH000965,NAPPELD2,False,False
BAPAGE,00004359,False,False
BAPDOC,00004359,False,False
SYSBH+,00003943,False,True
KVCTG,00003965,True,False
ZH000645,00003965,True,False
BAPEPD,00004359,False,False
ZH000399,00004359,False,False
ZH000037,DNOBELS,False,False
ZH000787,EBRUIN11,False,False
ZH000730,00004337,True,False
ZH000012,00004359,False,False
ZH000985,00004359,False,False
SYSBH,00004359,False,True
00000025,00004359,False,False
ZH000685,ANEUENFE,False,False
ZH000744,ANEUT,False,False
ZH000685,ANIJENHU,False,False
ZH000683,ANOBEL,False,False
ZH000783,ANOORLA2,False,False
ZH001347,00003991,False,False
ZH000971,LFRISSEN,False,False
ZH001386,00003724,True,False
ZH000821,NMELISSE,False,False
ZH000685,ANOTEBOO,False,False
ZH001066,00003758,True,False
ZH000853,STATIPAT,False,False
ZH000685,00003807,False,False
ZH001504,TSCHAKEL,False,False
ZH000685,00003805,False,False
ZH000645,00003992,True,False
00000226,00004005,True,False
00003194,00004005,True,False
