Id,OwnerId,OwnerType,SettingId,SettingSubId,SegmentClassId,ContextType,Inverted
CS00000588,ARBCOR,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,6,False
CS00000589,ARBCOR,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,1,False
CS00000598,ATEAM,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_DIAGRELS,6,True
CS00000600,ATEAM,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,3,False
CS00000602,ATEAM,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,6,False
CS00000603,ATEAM,G,AG_US_HIST,,AGENDA_AGENDA,0,True
CS00000605,ATEAM,G,DOSS_ISETTINGS,,DOSSIER_WERKSETTING,0,False
CS00000613,ATEAM,G,OND_RECHTEN,MET_PATSDOSS,DOSSIER_SUBDOSS,1,True
CS00000615,ATEAM,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_MULTCATE,0,True
CS00000617,ATEAM,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_SUBCATGO,0,False
CS00000618,ATEAM,G,OND_RECHTEN,MM_SCANDOC,MULTIMED_SUBCATGO,1,False
CS00000619,ATEAM,G,OND_RECHTEN,VRBEASJOVZ,VRLIJST_VRLCAT,0,True
CS00000629,AUDIOL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,FUNCTIE_FUNCAFD,6,False
CS00000628,AUDIOL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RONTGEN_RONTLOC,6,False
CS00000633,AUDIOL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZORGPAD_CATEGORIEEN,6,False
CS00000634,AUDIOL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_TRIALCAT,6,False
CS00000635,AUDIOL,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ECONSULT_POSTBOX,6,False
CS00000644,AUDIOL,G,AG_US_ANN,,AGENDA_AGENDA,0,False
CS00000645,AUDIOL,G,AG_US_BEK,,AGENDA_AGENDA,0,False
CS00000649,AUDIOL,G,AG_US_MAAK,,AGENDA_AGENDA,0,False
CS00000648,AUDIOL,G,AG_US_MAAK,,CSZISLIB_SPEC,0,False
CS00000650,AUDIOL,G,AG_US_MUT,,AGENDA_AGENDA,0,False
CS00000658,AUDIT,G,DOSS_ISETTINGS,,DOSSIER_WERKSETTING,0,False
CS00000660,AUDIT,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00000663,AUDIT,G,OND_RECHTEN,CONSULT_REG,CONSULT_ACCESS,0,False
CS00000664,AUDIT,G,OND_RECHTEN,CONSULT_REG,CONSULT_ACCESS,1,False
CS00000665,AUDIT,G,OND_RECHTEN,DCR_RECHT_C,CODELYST_LIJSTEN,0,True
CS00000674,AUDIT,G,OND_RECHTEN,VRBEASJOVZ,VRLIJST_VRLCAT,1,True
CS00000676,AUDIT,G,OND_RECHTEN,WIDOCARC,WI_DOCCAT,1,True
CS00000750,BAPDO0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZISCON_MODULE,6,False
CS00000749,BAPDO0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,6,False
CS00000757,BAPEP0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZISCON_MODULE,6,False
CS00000759,BAPEP0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMCATEGORY,6,False
CS00000758,BAPEP0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_PATSELGROUP,6,False
CS00000764,BAPEP0,G,OND_RECHTEN,OCORDERDEF,ORDERCOM_ORDCAT,4,False
CS00000766,BAPEP0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,5,False
CS00000772,BAPEP0,G,OND_RECHTEN,VRBEASJOVZ,VRLIJST_VRLCAT,4,False
CS00000774,BAPFA0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,6,False
CS00000773,BAPEP0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,3,False
CS00000779,BAPFA0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,EPISODE_WLCLASSID,6,False
CS00000781,BAPFU0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,0,False
CS00000787,BAPFU0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_PATSELGROUP,6,False
CS00000788,BAPFU0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMDEFINITION,6,False
CS00000791,BAPFU0,G,OND_RECHTEN,UB_NODEGROUP,UNIBOOM_BOOMTYPE,1,False
CS00000794,BAPFU0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,3,False
CS00000796,BAPFU0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,3,False
CS00000800,BAPGG0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,6,False
CS00000802,BAPGG0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_PATSELGROUP,6,False
CS00000803,BAPIN0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,AANLEV_AANLTMPL,6,False
CS00000805,BAPIN0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_PATSELGROUP,6,False
CS00000810,BAPIN0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,4,False
CS00000815,BAPIN0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,0,False
CS00000817,BAPIN0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,4,False
CS00000818,BAPIN0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,3,False
CS00000821,BAPLA0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,1,False
CS00000819,BAPKO0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZISCON_MODULE,6,False
CS00000829,BAPLA0,G,OND_RECHTEN,UB_NODEGROUP,UNIBOOM_BOOMTYPE,6,False
